English_Word,Node_Collections,,
unls,Focus -> General/Universal  ||  Focus  ->  Objective  ->  Material Object  ->  Immaterial  ->  Factual  ->  Opinion/Perspective  ||  Subjective,Focus  ->  Abstract  ->  Creative  ||  Spatial  ->  Time  ->  Past  ->  Near  ->  Distant  ->  Present  ->  Future  ->  Near  ->  Distant  ->  Space  ->  Near/Close  ->  Far/Distant  ->  Location  ||  Action  ->  Past Tense/Occurred  ->  Current/Occuring  ->  Future/Forward  ->  Resting/Stopped  ||,Identity  ->  Species  ->  Self  ->  Close Related External  ->  Distant Related External  ->  Gender  ->  Unidentified  ->  Binary  ->  Trans  ->  Female  ->  Male  ||  Quantitative  ->  Singular  ->  Positive  ->  Negative  ->  Multiple  ->  Positive  ->  Negative
,,,
AM,Spatial  ->  Time,,
PM,Spatial  ->  Time,,
elegant,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
elementary,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
elliptical,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
embarrassed,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
embellished,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
eminent,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
emotional,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
empty,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
enchanted,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
enchanting,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
energetic,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
enlightened,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
enormous,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
enraged,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
entire,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
envious,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
equal,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
equatorial,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
essential,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
esteemed,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
ethical,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
euphoric,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
even,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
evergreen,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
everlasting,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
every,Quantitative	 -> 	Multiple	 -> 	Positive																												,,
evil,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
exalted,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
excellent,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
excitable,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
excited,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
exciting,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
exemplary,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
exhausted,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
exotic,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
expensive,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
experienced,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
expert,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
extra	large	,Focus  ->  Objective  ->  Immaterial  ->  Factual  ||  Focus  ->  Subjective,Focus  ->  Abstract  ->  Creative,
extra	small	,Focus  ->  Objective  ->  Immaterial  ->  Factual  ||  Focus  ->  Subjective,Focus  ->  Abstract  ->  Creative,
extraneous,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
extroverted,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fabulous,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
failing,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
faint,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
fair,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
faithful,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
fake,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fuck,Focus -> General/Universal,,
familiar,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
famous,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
fancy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fantastic,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
far,Spatial || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
far	flung	,Spatial || Focus  ->  Objective  ->  Immaterial  ->  Factual  ||  Focus  ->  Subjective,Focus  ->  Abstract  ->  Creative,
far	off	,Spatial || Focus  ->  Objective  ->  Immaterial  ->  Factual  ||  Focus  ->  Subjective,Focus  ->  Abstract  ->  Creative,
faraway,Spatial || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fast,Action || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fat,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
fatal,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																	,,
fatherly,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
favorable,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
favorite,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
fearful,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
fearless,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
feisty,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
feline,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
female,Identity	 -> 	Species	 -> 	Female || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative													,,
feminine,Identity	 -> 	Species	 -> 	Female || Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																					,,
few,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
fickle,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
filthy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fine,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
finished,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
firm,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
first,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
firsthand,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fitting,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fixed,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flaky,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flamboyant,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
flashy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flat,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flawed,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flawless,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flickering,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flimsy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flippant,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
flowery,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fluffy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fluid,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
flustered,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
Focused,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fond,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
foolhardy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
foolish,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
forceful,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
forked,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
formal,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
forsaken,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
forthright,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fortunate,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
fragrant,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
frail,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
frank,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
frayed,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
free,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
French,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
frequent,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fresh,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
friendly,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
frightened,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
frightening,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
frigid,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
frilly,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
frivolous,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
frizzy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
front,Spatial -> Close -> Spatial,,
frosty,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
frozen,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
frugal,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
fruitful,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
full,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
fumbling,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
functional,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
funny,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
fussy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
fuzzy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gargantuan,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gaseous,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
general,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
generous,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
gentle,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
genuine,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
giant,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
giddy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
gifted,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
gigantic,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
giving,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
glamorous,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
glaring,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
glass,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gleaming,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gleeful,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
glistening,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
glittering,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gloomy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
glorious,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
glossy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
glum,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
golden,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
good,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
goodnatured,Focus  ->  Objective  ->  Immaterial  ->  Opinion Perspective,,
gorgeous,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
graceful,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
gracious,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
grand,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
grandiose,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
granular,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
grateful,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
grave,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gray,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
great,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
greedy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
green,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gregarious,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
grim,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
grimy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gripping,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
grizzled,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gross,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
grotesque,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
grouchy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
grounded,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
growing,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
growling,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
grown,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
grubby,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
gruesome,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
grumpy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
guilty,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
gullible,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																,,
gummy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
hairy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
half,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
handmade,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
handsome,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
handy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
hard,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
harmful,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
harmless,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
harmonious,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
harsh,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
hasty,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
hateful,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
haunting,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
healthy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
heartfelt,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
hearty,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
heavenly,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive																									,,
heavy,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative																	,,
hefty,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative																									,,
helpful,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Opinion	Perspective																									,,
